Object,Type,RA (h),DEC (deg),Magnitude,Size (arcminutes),NGC#,Constellation,Detailed Type,Common Name
K2-159 b,,180.5408896,-3.5809053,,,,,,
K2-16 b,,175.0972238,4.5574311,,,,,,
K2-16 c,,175.0972238,4.5574311,,,,,,
K2-162 b,,186.0383865,-1.111479,,,,,,
K2-167 b,,336.5761233,-18.011665,,,,,,
K2-17 b,,178.3296746,6.4123178,,,,,,
K2-174 b,,60.7929729,16.347166,,,,,,
K2-18 b,,172.560141,7.5878315,,,,,,
K2-18 c,,172.560141,7.5878315,,,,,,
K2-180 b,,126.4643579,10.246577,,,,,,
K2-182 b,,130.180046,10.9829509,,,,,,
K2-183 c,,125.007177,14.0194586,,,,,,
K2-183 d,,125.007177,14.0194586,,,,,,
K2-184 b,,129.1405227,14.4618826,,,,,,
K2-187 b,,132.5235618,23.1924709,,,,,,
K2-187 c,,132.5235618,23.1924709,,,,,,
K2-187 d,,132.5235618,23.1924709,,,,,,
K2-187 e,,132.5235618,23.1924709,,,,,,
K2-188 b,,129.8137008,23.3574367,,,,,,
K2-189 b,,203.6214411,-15.0365158,,,,,,
K2-189 c,,203.6214411,-15.0365158,,,,,,
K2-19 b,,174.9602543,0.603596,,,,,,
K2-19 c,,174.9602543,0.603596,,,,,,
K2-19 d,,174.9602543,0.603596,,,,,,
K2-192 b,,206.5823122,-11.5563527,,,,,,
K2-195 b,,199.8315191,-8.5095364,,,,,,
K2-199 b,,208.9014508,-6.1360833,,,,,,
K2-199 c,,208.9014508,-6.1360833,,,,,,
K2-21 b,,340.3037846,-14.4893256,,,,,,
K2-21 c,,340.3037846,-14.4893256,,,,,,
K2-212 b,,18.4241015,3.0970732,,,,,,
K2-216 b,,11.4802354,6.3470302,,,,,,
K2-222 b,,16.4625203,11.7537171,,,,,,
K2-223 b,,185.306183,-10.2820915,,,,,,
K2-224 b,,189.7041426,-10.0605942,,,,,,
K2-224 c,,189.7041426,-10.0605942,,,,,,
K2-226 b,,183.6456643,-9.5626286,,,,,,
K2-228 b,,187.2947047,-6.8342028,,,,,,
K2-229 b,,186.8729195,-6.7218474,,,,,,
K2-229 c,,186.8729195,-6.7218474,,,,,,
K2-233 b,,230.4799011,-20.2317975,,,,,,
K2-233 c,,230.4799011,-20.2317975,,,,,,
K2-233 d,,230.4799011,-20.2317975,,,,,,
K2-239 b,,160.5941265,4.4413751,,,,,,
K2-239 c,,160.5941265,4.4413751,,,,,,
K2-239 d,,160.5941265,4.4413751,,,,,,
K2-240 b,,227.849371,-17.8754464,,,,,,
K2-240 c,,227.849371,-17.8754464,,,,,,
K2-241 b,,181.2386829,-6.8052985,,,,,,
K2-242 b,,179.8358421,-6.5178542,,,,,,
K2-244 b,,183.4686492,-3.8318097,,,,,,
K2-245 b,,185.181563,-1.5909138,,,,,,
K2-246 b,,181.6296115,-1.1606,,,,,,
K2-247 b,,188.8935189,-10.0692793,,,,,,
K2-247 c,,188.8935189,-10.0692793,,,,,,
K2-248 b,,182.8173343,-9.4141696,,,,,,
K2-25 b,,63.2739346,15.2477027,,,,,,
K2-250 b,,185.0315429,-8.9757427,,,,,,
K2-251 b,,190.6892403,-8.5359826,,,,,,
